ID;FLG_DEF_6M;Macro Area;Settore
551;0;Centro ;Artigianato e piccole imprese
552;0;Nord;Artigianato e piccole imprese
553;0;Centro ;Artigianato e piccole imprese
554;0;Centro ;Artigianato e piccole imprese
555;0;Centro ;Artigianato e piccole imprese
556;0;Nord;Artigianato e piccole imprese
557;0;Centro ;Artigianato e piccole imprese
558;0;Nord;Artigianato e piccole imprese
559;1;Nord;Artigianato e piccole imprese
560;0;Sud & Isole;Artigianato e piccole imprese
561;0;Nord;Artigianato e piccole imprese
562;0;Centro ;Artigianato e piccole imprese
563;0;Nord;Artigianato e piccole imprese
564;0;Nord;Artigianato e piccole imprese
565;1;Centro ;Artigianato e piccole imprese
566;0;Nord;Artigianato e piccole imprese
567;0;Centro ;Imprese private
568;0;Nord;Imprese private
569;0;Nord;Artigianato e piccole imprese
570;0;Centro ;Imprese private
571;0;Nord;Artigianato e piccole imprese
572;0;Nord;Imprese private
573;0;Centro ;Artigianato e piccole imprese
574;1;Nord;Imprese private
575;1;Nord;Artigianato e piccole imprese
576;0;Sud & Isole;Artigianato e piccole imprese
577;0;Nord;Artigianato e piccole imprese
578;0;Nord;Artigianato e piccole imprese
579;0;Nord;Artigianato e piccole imprese
580;0;Nord;NGO e altro
581;0;Nord;Imprese private
582;0;Sud & Isole;Artigianato e piccole imprese
583;0;Nord;Artigianato e piccole imprese
584;0;Nord;Artigianato e piccole imprese
585;0;Nord;NGO e altro
586;0;Centro ;Artigianato e piccole imprese
587;0;Centro ;Artigianato e piccole imprese
588;0;Sud & Isole;Imprese private
589;0;Nord;Artigianato e piccole imprese
590;0;Centro ;Artigianato e piccole imprese
591;1;Nord;Artigianato e piccole imprese
592;1;Nord;Artigianato e piccole imprese
593;0;Centro ;Imprese private
594;0;Centro ;Imprese private
595;0;Nord;Artigianato e piccole imprese
596;0;Centro ;Artigianato e piccole imprese
597;0;Nord;Artigianato e piccole imprese
598;0;Nord;Artigianato e piccole imprese
599;0;Centro ;Artigianato e piccole imprese
600;0;Nord;Artigianato e piccole imprese
601;1;Nord;Artigianato e piccole imprese
602;0;Sud & Isole;Artigianato e piccole imprese
603;0;Centro ;NGO e altro
604;0;Centro ;Artigianato e piccole imprese
605;0;Nord;Artigianato e piccole imprese
606;1;Nord;Artigianato e piccole imprese
607;0;Nord;Artigianato e piccole imprese
608;1;Nord;Artigianato e piccole imprese
609;1;Centro ;Artigianato e piccole imprese
610;0;Nord;Artigianato e piccole imprese
611;0;Nord;Artigianato e piccole imprese
612;0;Centro ;Artigianato e piccole imprese
613;0;Nord;Artigianato e piccole imprese
614;0;Nord;Artigianato e piccole imprese
615;0;Nord;Artigianato e piccole imprese
616;0;Nord;Artigianato e piccole imprese
617;0;Nord;Imprese private
618;0;Centro ;Artigianato e piccole imprese
619;0;Nord;Artigianato e piccole imprese
620;0;Nord;NGO e altro
621;0;Nord;Artigianato e piccole imprese
622;0;Nord;NGO e altro
623;0;Nord;Artigianato e piccole imprese
624;0;Nord;Artigianato e piccole imprese
625;0;Nord;Artigianato e piccole imprese
626;0;Nord;Artigianato e piccole imprese
627;1;Nord;Artigianato e piccole imprese
628;0;Centro ;NGO e altro
629;0;Centro ;Artigianato e piccole imprese
630;1;Sud & Isole;Artigianato e piccole imprese
631;1;Nord;Artigianato e piccole imprese
632;0;Centro ;Imprese private
633;1;Centro ;Artigianato e piccole imprese
634;0;Nord;NGO e altro
635;0;Nord;Artigianato e piccole imprese
636;0;Nord;Artigianato e piccole imprese
637;0;Centro ;Artigianato e piccole imprese
638;1;Nord;Imprese private
639;0;Centro ;Artigianato e piccole imprese
640;0;Centro ;Artigianato e piccole imprese
641;0;Nord;Artigianato e piccole imprese
642;0;Nord;Artigianato e piccole imprese
643;1;Centro ;Artigianato e piccole imprese
644;0;Nord;Artigianato e piccole imprese
645;0;Nord;Artigianato e piccole imprese
646;0;Nord;Artigianato e piccole imprese
647;0;Nord;Artigianato e piccole imprese
648;1;Sud & Isole;Artigianato e piccole imprese
649;0;Centro ;Artigianato e piccole imprese
650;0;Nord;Artigianato e piccole imprese
651;0;Centro ;Artigianato e piccole imprese
652;1;Centro ;Artigianato e piccole imprese
653;0;Centro ;Artigianato e piccole imprese
654;1;Centro ;Imprese private
655;0;Centro ;Artigianato e piccole imprese
656;0;Nord;NGO e altro
657;0;Nord;Artigianato e piccole imprese
658;0;Nord;Artigianato e piccole imprese
659;0;Nord;Artigianato e piccole imprese
660;0;Centro ;Artigianato e piccole imprese
661;0;Centro ;Artigianato e piccole imprese
662;0;Nord;Imprese private
663;0;Nord;Artigianato e piccole imprese
664;0;Centro ;Artigianato e piccole imprese
665;0;Nord;Artigianato e piccole imprese
666;1;Centro ;Imprese private
667;0;Centro ;Imprese private
668;1;Centro ;Artigianato e piccole imprese
669;0;Centro ;Artigianato e piccole imprese
670;0;Nord;Artigianato e piccole imprese
671;0;Centro ;Artigianato e piccole imprese
672;0;Nord;Artigianato e piccole imprese
